2026-04-23 23:50:36,723 - INFO - === Binance BTC Bot V2 started ===
2026-04-23 23:50:37,150 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:50:38,436 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:50:39,674 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:50:40,958 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:50:42,395 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:50:43,669 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:50:44,909 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:50:46,181 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:50:47,699 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:50:48,951 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:50:50,192 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:50:51,440 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:50:52,753 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:50:54,031 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:50:56,250 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:50:57,566 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:50:58,947 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:00,262 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:01,543 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:02,820 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:04,410 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:05,666 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:06,974 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:08,676 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:10,154 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:12,562 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:13,849 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:15,089 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:16,357 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:17,598 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:19,088 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:20,344 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:21,663 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:22,910 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:24,207 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:25,524 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:26,775 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:29,137 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:30,394 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:31,668 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:32,947 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:34,195 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:35,495 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:36,790 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:38,142 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:39,531 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:41,295 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:42,593 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:43,853 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:45,185 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:46,499 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:47,814 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:49,375 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:50,726 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:52,007 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:53,260 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:54,794 - ERROR - Error fetching 1h: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-04-23 23:51:54,811 - INFO - Bot stopped by user
