symbol,variant,strategy,month,trades,pnl,wins,losses
XAUUSDm,A_sweep_lb10_wick1.2_rr1.5_atr20,sweep,2025-01,67,-975.8881228440877,26,41
XAUUSDm,A_sweep_lb10_wick1.2_rr1.5_atr20,sweep,2025-02,63,-643.8382282376215,25,38
XAUUSDm,A_sweep_lb10_wick1.2_rr1.5_atr20,sweep,2025-03,66,-919.5534737151469,24,42
XAUUSDm,A_sweep_lb10_wick1.2_rr1.5_atr20,sweep,2025-04,69,-439.83092948610647,27,42
XAUUSDm,A_sweep_lb10_wick1.2_rr1.5_atr20,sweep,2025-05,72,-874.6448482792962,22,50
XAUUSDm,A_sweep_lb10_wick1.2_rr1.5_atr20,sweep,2025-06,67,-1027.6251237879646,19,48
XAUUSDm,A_sweep_lb10_wick1.2_rr1.5_atr20,sweep,2025-07,77,-1179.0479531647725,26,51
XAUUSDm,A_sweep_lb10_wick1.2_rr1.5_atr20,sweep,2025-08,68,-689.0666778411387,29,39
XAUUSDm,A_sweep_lb10_wick1.2_rr1.5_atr20,sweep,2025-09,71,-964.4107663678672,24,47
XAUUSDm,A_sweep_lb10_wick1.2_rr1.5_atr20,sweep,2025-10,75,-489.29654147640815,30,45
XAUUSDm,A_sweep_lb10_wick1.2_rr1.5_atr20,sweep,2025-11,62,-546.3469552046424,22,40
XAUUSDm,A_sweep_lb10_wick1.2_rr1.5_atr20,sweep,2025-12,70,-623.2034512197622,26,44
XAUUSDm,A_sweep_lb10_wick1.2_rr1.5_atr20,sweep,2026-01,68,-670.4972034053026,23,45
XAUUSDm,A_sweep_lb10_wick1.2_rr1.5_atr20,sweep,2026-02,65,-446.89304040503316,23,42
XAUUSDm,A_sweep_lb10_wick1.2_rr1.5_atr20,sweep,2026-03,75,-590.9137263581125,25,50
XAUUSDm,A_sweep_lb10_wick1.2_rr1.5_atr20,sweep,2026-04,68,-628.7496449789985,23,45
XAUUSDm,A_sweep_lb10_wick1.2_rr1.5_atr20,sweep,2026-05,13,-162.86861416462764,4,9
