symbol,variant,strategy,month,trades,pnl,wins,losses
XAUUSDm,candidate_current,momentum,2025-01,9,59.4295482449633,4,5
XAUUSDm,candidate_current,momentum,2025-02,7,93.72210748695773,4,3
XAUUSDm,candidate_current,momentum,2025-03,4,-24.959302964612426,1,3
XAUUSDm,candidate_current,momentum,2025-04,7,-75.48394433007302,2,5
XAUUSDm,candidate_current,momentum,2025-05,9,-1.1602773735248917,3,6
XAUUSDm,candidate_current,momentum,2025-06,8,-23.81991331419397,4,4
XAUUSDm,candidate_current,momentum,2025-07,10,150.3737840824386,7,3
XAUUSDm,candidate_current,momentum,2025-08,10,90.81448197599006,6,4
XAUUSDm,candidate_current,momentum,2025-09,4,-36.22585629408184,1,3
XAUUSDm,candidate_current,momentum,2025-10,5,77.72807350990375,3,2
XAUUSDm,candidate_current,momentum,2025-11,5,-18.551173055237392,1,4
XAUUSDm,candidate_current,momentum,2025-12,4,105.5733326654935,3,1
XAUUSDm,candidate_current,momentum,2026-01,4,35.393790204399565,2,2
XAUUSDm,candidate_current,momentum,2026-02,5,-13.068272237345859,2,3
XAUUSDm,candidate_current,momentum,2026-03,7,249.92149572312587,7,0
XAUUSDm,candidate_current,momentum,2026-04,4,-75.94178639440621,1,3
XAUUSDm,candidate_current,momentum,2026-05,1,6.909488113928996,1,0
XAUUSDm,sell_only,momentum,2025-01,4,102.64877581699128,3,1
XAUUSDm,sell_only,momentum,2025-02,5,77.43938392235148,3,2
XAUUSDm,sell_only,momentum,2025-03,4,-24.96038010720681,1,3
XAUUSDm,sell_only,momentum,2025-04,4,-33.4667205695621,1,3
XAUUSDm,sell_only,momentum,2025-05,3,16.253097791090706,1,2
XAUUSDm,sell_only,momentum,2025-06,5,-50.641075623361466,2,3
XAUUSDm,sell_only,momentum,2025-07,6,81.24717598346702,4,2
XAUUSDm,sell_only,momentum,2025-09,2,-53.74956398656366,0,2
XAUUSDm,sell_only,momentum,2025-10,3,104.38905923081586,3,0
XAUUSDm,sell_only,momentum,2025-11,3,9.154401321018195,1,2
XAUUSDm,sell_only,momentum,2025-12,2,88.2237433217717,2,0
XAUUSDm,sell_only,momentum,2026-01,2,18.118781049338086,1,1
XAUUSDm,sell_only,momentum,2026-02,2,34.67650392477785,1,1
XAUUSDm,sell_only,momentum,2026-03,5,112.21354058524118,4,1
XAUUSDm,sell_only,momentum,2026-04,1,-25.952815528716346,0,1
XAUUSDm,buy_only,momentum,2025-01,5,-43.20911750219355,1,4
XAUUSDm,buy_only,momentum,2025-02,2,16.288522844253386,1,1
XAUUSDm,buy_only,momentum,2025-04,4,2.025672253018385,2,2
XAUUSDm,buy_only,momentum,2025-05,5,8.313220696029372,2,3
XAUUSDm,buy_only,momentum,2025-06,3,26.776153760533,2,1
XAUUSDm,buy_only,momentum,2025-07,5,72.31116852663128,4,1
XAUUSDm,buy_only,momentum,2025-08,10,91.0205255212361,6,4
XAUUSDm,buy_only,momentum,2025-09,2,17.529124249210692,1,1
XAUUSDm,buy_only,momentum,2025-10,2,-26.686920213806324,0,2
XAUUSDm,buy_only,momentum,2025-11,2,-27.754176742441658,0,2
XAUUSDm,buy_only,momentum,2025-12,2,17.349841492208892,1,1
