time,symbol,variant,strategy,balance,drawdown_pct
2025-02-11 12:45:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10000.0,0.0
2025-03-03 13:05:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10035.585822975147,0.0
2025-04-02 12:25:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10035.585822975147,0.0
2025-04-14 14:45:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10008.82918701058,-0.26661757904865285
2025-05-15 12:50:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10008.82918701058,-0.26661757904865285
2025-09-12 12:20:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10044.8677414601,-0.26661757904865285
2025-10-16 15:50:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10044.8677414601,-0.26661757904865285
2025-10-22 13:00:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10080.067666119783,-0.26661757904865285
2025-11-14 15:45:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10080.067666119783,-0.26661757904865285
2025-11-21 15:35:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10080.067666119783,-0.26661757904865285
2026-01-08 13:20:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10080.067666119783,-0.26661757904865285
2026-03-20 13:30:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10080.067666119783,-0.26661757904865285
2026-03-30 13:40:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10116.940660572165,-0.26661757904865285
2025-02-11 12:45:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10000.0,0.0
2025-03-03 13:05:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10035.585822975147,0.0
2025-04-02 12:25:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10035.585822975147,0.0
2025-04-14 14:45:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10008.82918701058,-0.26661757904865285
2025-05-15 12:50:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10008.82918701058,-0.26661757904865285
2025-09-12 12:20:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10044.8677414601,-0.26661757904865285
2025-10-16 15:50:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10044.8677414601,-0.26661757904865285
2025-10-22 13:00:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10080.067666119783,-0.26661757904865285
2025-11-14 15:45:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10080.067666119783,-0.26661757904865285
2025-11-21 15:35:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10080.067666119783,-0.26661757904865285
2026-01-08 13:20:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10080.067666119783,-0.26661757904865285
2026-03-20 13:30:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10080.067666119783,-0.26661757904865285
2026-03-30 13:40:00+00:00,XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10116.940660572165,-0.26661757904865285
2025-02-11 12:45:00+00:00,XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,10000.0,0.0
2025-02-13 13:00:00+00:00,XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,10043.086572975148,0.0
2025-03-03 13:05:00+00:00,XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,10043.086572975148,0.0
2025-04-02 12:25:00+00:00,XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,10043.086572975148,0.0
2025-04-30 12:15:00+00:00,XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,10016.329937010581,-0.26641845383037277
2025-05-15 12:50:00+00:00,XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,10016.329937010581,-0.26641845383037277
2025-09-12 12:20:00+00:00,XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,10059.8677414601,-0.26641845383037277
2025-10-22 13:00:00+00:00,XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,10059.8677414601,-0.26641845383037277
2026-01-08 13:20:00+00:00,XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,10059.8677414601,-0.26641845383037277
2026-03-20 13:30:00+00:00,XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,10059.8677414601,-0.26641845383037277
2026-03-30 13:40:00+00:00,XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,10104.243854087623,-0.26641845383037277
2025-02-11 12:45:00+00:00,XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,10000.0,0.0
