symbol,variant,strategy,month,trades,pnl,wins,losses
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-02,1,35.585822975146314,1,0
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-04,1,-26.756635964566573,0,1
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-05,1,36.03855444951966,1,0
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-10,1,35.19992465968188,1,0
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03,1,36.87299445238172,1,0
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-02,1,35.585822975146314,1,0
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-04,1,-26.756635964566573,0,1
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-05,1,36.03855444951966,1,0
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-10,1,35.19992465968188,1,0
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03,1,36.87299445238172,1,0
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-02,1,43.08657297514692,1,0
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-04,1,-26.756635964566573,0,1
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-05,1,43.53780444951892,1,0
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03,1,44.376112627521586,1,0
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-02,1,43.08657297514692,1,0
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-04,1,-26.756635964566573,0,1
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-05,1,43.53780444951892,1,0
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03,1,44.376112627521586,1,0
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.4_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-02,1,43.08657297514692,1,0
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.4_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-04,1,-26.756635964566573,0,1
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.4_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-05,1,43.53780444951892,1,0
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.4_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03,1,44.376112627521586,1,0
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-02,1,43.08657297514692,1,0
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-04,1,-26.756635964566573,0,1
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-05,1,43.53780444951892,1,0
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03,1,44.376112627521586,1,0
XAUUSDm,grid_thai_19_21_rr1.5_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-02,1,35.585822975146314,1,0
XAUUSDm,grid_thai_19_21_rr1.5_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-04,1,-26.756635964566573,0,1
XAUUSDm,grid_thai_19_21_rr1.5_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-05,1,36.03855444951966,1,0
XAUUSDm,grid_thai_19_21_rr1.5_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03,1,36.87536262752147,1,0
XAUUSDm,grid_thai_19_21_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-02,1,35.585822975146314,1,0
XAUUSDm,grid_thai_19_21_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-04,1,-26.756635964566573,0,1
XAUUSDm,grid_thai_19_21_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-05,1,36.03855444951966,1,0
XAUUSDm,grid_thai_19_21_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03,1,36.87536262752147,1,0
XAUUSDm,grid_thai_19_21_rr1.5_body2_wick0.4_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-02,1,35.585822975146314,1,0
XAUUSDm,grid_thai_19_21_rr1.5_body2_wick0.4_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-04,1,-26.756635964566573,0,1
XAUUSDm,grid_thai_19_21_rr1.5_body2_wick0.4_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-05,1,36.03855444951966,1,0
XAUUSDm,grid_thai_19_21_rr1.5_body2_wick0.4_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03,1,36.87536262752147,1,0
XAUUSDm,grid_thai_19_21_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-02,1,35.585822975146314,1,0
XAUUSDm,grid_thai_19_21_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-04,1,-26.756635964566573,0,1
XAUUSDm,grid_thai_19_21_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-05,1,36.03855444951966,1,0
XAUUSDm,grid_thai_19_21_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03,1,36.87536262752147,1,0
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.3_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-04,1,-26.752678033110904,0,1
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.3_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-05,1,36.03345578066438,1,0
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.3_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-10,1,35.203866879197804,1,0
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.3_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03,1,36.87536262752147,1,0
XAUUSDm,grid_thai_19_21_rr2.2_body2_wick0.3_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-04,1,-26.752678033110904,0,1
XAUUSDm,grid_thai_19_21_rr2.2_body2_wick0.3_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-05,1,53.531705780664915,1,0
XAUUSDm,grid_thai_19_21_rr2.2_body2_wick0.3_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03,1,54.37774264384019,1,0
XAUUSDm,grid_thai_19_21_rr2.2_body2_wick0.3_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-04,1,-26.752678033110904,0,1
XAUUSDm,grid_thai_19_21_rr2.2_body2_wick0.3_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-05,1,53.531705780664915,1,0
XAUUSDm,grid_thai_19_21_rr2.2_body2_wick0.3_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03,1,54.37774264384019,1,0
XAUUSDm,grid_thai_20_22_rr2.2_body1.8_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-02,2,24.650158841092402,1,1
XAUUSDm,grid_thai_20_22_rr2.2_body1.8_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03,1,54.37774264384019,1,0
XAUUSDm,grid_thai_20_22_rr2.2_body1.8_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-02,2,24.650158841092402,1,1
XAUUSDm,grid_thai_20_22_rr2.2_body1.8_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03,1,54.37774264384019,1,0
XAUUSDm,grid_thai_20_22_rr2.2_body1.8_wick0.3_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-02,2,24.650158841092402,1,1
XAUUSDm,grid_thai_20_22_rr2.2_body1.8_wick0.3_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03,1,54.37774264384019,1,0
XAUUSDm,grid_thai_19_21_rr2_body2_wick0.3_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-04,1,-26.752678033110904,0,1
XAUUSDm,grid_thai_19_21_rr2_body2_wick0.3_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-05,1,48.53220578066491,1,0
XAUUSDm,grid_thai_19_21_rr2_body2_wick0.3_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03,1,49.37724264383995,1,0
XAUUSDm,grid_thai_19_21_rr2_body2_wick0.3_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-04,1,-26.752678033110904,0,1
XAUUSDm,grid_thai_19_21_rr2_body2_wick0.3_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-05,1,48.53220578066491,1,0
XAUUSDm,grid_thai_19_21_rr2_body2_wick0.3_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03,1,49.37724264383995,1,0
XAUUSDm,grid_thai_21_23_rr1.5_body1.8_wick0.5_close20_extOff_ema20_50_atrMinOff_atrMax90,momentum,2025-01,3,54.32520342290173,3,0
XAUUSDm,grid_thai_21_23_rr1.5_body1.8_wick0.5_close20_extOff_ema20_50_atrMinOff_atrMax90,momentum,2025-02,2,70.43638638145327,2,0
XAUUSDm,grid_thai_21_23_rr1.5_body1.8_wick0.5_close20_extOff_ema20_50_atrMinOff_atrMax90,momentum,2025-03,1,35.76609899340311,1,0
XAUUSDm,grid_thai_21_23_rr1.5_body1.8_wick0.5_close20_extOff_ema20_50_atrMinOff_atrMax90,momentum,2025-04,4,25.529488228472413,2,2
XAUUSDm,grid_thai_21_23_rr1.5_body1.8_wick0.5_close20_extOff_ema20_50_atrMinOff_atrMax90,momentum,2025-07,2,7.890527628495967,1,1
XAUUSDm,grid_thai_21_23_rr1.5_body1.8_wick0.5_close20_extOff_ema20_50_atrMinOff_atrMax90,momentum,2025-09,3,25.99373378726107,2,1
XAUUSDm,grid_thai_21_23_rr1.5_body1.8_wick0.5_close20_extOff_ema20_50_atrMinOff_atrMax90,momentum,2025-10,1,35.188351593511456,1,0
XAUUSDm,grid_thai_21_23_rr1.5_body1.8_wick0.5_close20_extOff_ema20_50_atrMinOff_atrMax90,momentum,2026-04,1,-25.767204607431974,0,1
XAUUSDm,grid_thai_21_23_rr1.5_body1.8_wick0.5_close20_extOff_ema20_50_atrMin30_atrMax90,momentum,2025-01,3,54.32520342290173,3,0
XAUUSDm,grid_thai_21_23_rr1.5_body1.8_wick0.5_close20_extOff_ema20_50_atrMin30_atrMax90,momentum,2025-02,2,70.43638638145327,2,0
XAUUSDm,grid_thai_21_23_rr1.5_body1.8_wick0.5_close20_extOff_ema20_50_atrMin30_atrMax90,momentum,2025-03,1,35.76609899340311,1,0
XAUUSDm,grid_thai_21_23_rr1.5_body1.8_wick0.5_close20_extOff_ema20_50_atrMin30_atrMax90,momentum,2025-04,4,25.529488228472413,2,2
