split,phase,start,end,label,symbol,variant,total_trades,winrate,profit_factor,profit_pct,max_drawdown,expectancy,avg_r,trades_per_day,worst_month,months,positive_months,positive_month_pct,best_month,max_consecutive_losses,config,avg_sl_distance,avg_spread,spread_cost_pct_of_pnl
train2025_validate2026,train_best,2025-01-01,2025-12-31,train2025_validate2026_train,XAUUSDm,sens_thai_19_2030_rr1.9_body2_wick0.35_atrMin45,56,53.57142857142857,1.7011840903743027,4.396406268820811,-0.5393583300201608,7.850725480037184,0.31402901920148746,0.15342465753424658,-7.761358559207597,12,10,83.33333333333334,84.11831501373145,3,"{'strategy': 'momentum', 'variant': 'sens_thai_19_2030_rr1.9_body2_wick0.35_atrMin45', 'initial_balance': 10000.0, 'risk_pct': 0.0025, 'fee_rate': 0.0001, 'spread_atr_mult': 0.03, 'slippage_min_spread': 0.3, 'slippage_max_spread': 1.0, 'max_trades_per_day': 3, 'daily_loss_limit_pct': 0.03, 'max_hold_minutes': 720, 'seed': 42, 'sweep_lookback': 20, 'wick_body_min': 1.5, 'atr_percentile_min': 30.0, 'sweep_rr': 2.0, 'sl_atr_buffer': 0.1, 'use_m1_confirmation': False, 'session': 'ny', 'adx_min': 18.0, 'momentum_rr': 1.9, 'use_atr_expansion': False, 'body_mult': 2.0, 'max_wick_pct': 0.35, 'momentum_sl_atr_mult': 1.0, 'session_hours_utc': None, 'close_extreme_pct': None, 'ema_extension_atr_max': None, 'use_m15_ema_trend': False, 'use_m15_ema200_filter': False, 'momentum_atr_percentile_min': 45.0, 'momentum_atr_percentile_max': None, 'session_ranges_utc_minutes': ((720, 810),), 'entry_mode': 'next_m5'}",14.479964317751353,0.11423196428571389,0.014550497858596991
train2025_validate2026,validate,2026-01-01,2026-05-07,train2025_validate2026_validate,XAUUSDm,sens_thai_19_2030_rr1.9_body2_wick0.35_atrMin45,12,58.333333333333336,1.865404754176093,1.1267706775887563,-0.5068098387385079,9.38975564657311,0.37559022586292445,0.09448818897637795,-77.59460344394842,4,2,50.0,145.2768832194837,3,"{'strategy': 'momentum', 'variant': 'sens_thai_19_2030_rr1.9_body2_wick0.35_atrMin45', 'initial_balance': 10000.0, 'risk_pct': 0.0025, 'fee_rate': 0.0001, 'spread_atr_mult': 0.03, 'slippage_min_spread': 0.3, 'slippage_max_spread': 1.0, 'max_trades_per_day': 3, 'daily_loss_limit_pct': 0.03, 'max_hold_minutes': 720, 'seed': 42, 'sweep_lookback': 20, 'wick_body_min': 1.5, 'atr_percentile_min': 30.0, 'sweep_rr': 2.0, 'sl_atr_buffer': 0.1, 'use_m1_confirmation': False, 'session': 'ny', 'adx_min': 18.0, 'momentum_rr': 1.9, 'use_atr_expansion': False, 'body_mult': 2.0, 'max_wick_pct': 0.35, 'momentum_sl_atr_mult': 1.0, 'session_hours_utc': None, 'close_extreme_pct': None, 'ema_extension_atr_max': None, 'use_m15_ema_trend': False, 'use_m15_ema200_filter': False, 'momentum_atr_percentile_min': 45.0, 'momentum_atr_percentile_max': None, 'session_ranges_utc_minutes': ((720, 810),), 'entry_mode': 'next_m5'}",37.69100809431901,0.28790964285714343,0.03066210173022118
roll_q1_to_q2_2025,train_best,2025-01-01,2025-03-31,roll_q1_to_q2_2025_train,XAUUSDm,sens_thai_19_2030_rr1.9_body2_wick0.35_atrMin35,12,58.333333333333336,2.360292121187954,1.8296541926835015,-0.523012262427432,15.247118272362448,0.6098847308944979,0.13333333333333333,17.45083649844993,3,3,100.0,84.11831501373145,2,"{'strategy': 'momentum', 'variant': 'sens_thai_19_2030_rr1.9_body2_wick0.35_atrMin35', 'initial_balance': 10000.0, 'risk_pct': 0.0025, 'fee_rate': 0.0001, 'spread_atr_mult': 0.03, 'slippage_min_spread': 0.3, 'slippage_max_spread': 1.0, 'max_trades_per_day': 3, 'daily_loss_limit_pct': 0.03, 'max_hold_minutes': 720, 'seed': 42, 'sweep_lookback': 20, 'wick_body_min': 1.5, 'atr_percentile_min': 30.0, 'sweep_rr': 2.0, 'sl_atr_buffer': 0.1, 'use_m1_confirmation': False, 'session': 'ny', 'adx_min': 18.0, 'momentum_rr': 1.9, 'use_atr_expansion': False, 'body_mult': 2.0, 'max_wick_pct': 0.35, 'momentum_sl_atr_mult': 1.0, 'session_hours_utc': None, 'close_extreme_pct': None, 'ema_extension_atr_max': None, 'use_m15_ema_trend': False, 'use_m15_ema200_filter': False, 'momentum_atr_percentile_min': 35.0, 'momentum_atr_percentile_max': None, 'session_ranges_utc_minutes': ((720, 810),), 'entry_mode': 'next_m5'}",7.313008021538319,0.06572732142857117,0.004310802884484159
roll_q1_to_q2_2025,validate,2025-04-01,2025-06-30,roll_q1_to_q2_2025_validate,XAUUSDm,sens_thai_19_2030_rr1.9_body2_wick0.35_atrMin35,16,43.75,0.9551014101398402,-0.09438327405838208,-1.0061345615532447,-0.5898954628646758,-0.023595818514587016,0.17582417582417584,-46.7508583365817,3,2,66.66666666666666,25.519352152354053,3,"{'strategy': 'momentum', 'variant': 'sens_thai_19_2030_rr1.9_body2_wick0.35_atrMin35', 'initial_balance': 10000.0, 'risk_pct': 0.0025, 'fee_rate': 0.0001, 'spread_atr_mult': 0.03, 'slippage_min_spread': 0.3, 'slippage_max_spread': 1.0, 'max_trades_per_day': 3, 'daily_loss_limit_pct': 0.03, 'max_hold_minutes': 720, 'seed': 42, 'sweep_lookback': 20, 'wick_body_min': 1.5, 'atr_percentile_min': 30.0, 'sweep_rr': 2.0, 'sl_atr_buffer': 0.1, 'use_m1_confirmation': False, 'session': 'ny', 'adx_min': 18.0, 'momentum_rr': 1.9, 'use_atr_expansion': False, 'body_mult': 2.0, 'max_wick_pct': 0.35, 'momentum_sl_atr_mult': 1.0, 'session_hours_utc': None, 'close_extreme_pct': None, 'ema_extension_atr_max': None, 'use_m15_ema_trend': False, 'use_m15_ema200_filter': False, 'momentum_atr_percentile_min': 35.0, 'momentum_atr_percentile_max': None, 'session_ranges_utc_minutes': ((720, 810),), 'entry_mode': 'next_m5'}",17.377230560350114,0.13849848214285676,0.2347847896138656
roll_q2_to_q3_2025,train_best,2025-04-01,2025-06-30,roll_q2_to_q3_2025_train,XAUUSDm,sens_thai_19_2030_rr1.6_body2_wick0.35_atrMin50,15,60.0,1.886138676057982,1.1704648075428667,-0.2724351599953925,7.803098716952616,0.3121239486781046,0.16483516483516483,17.941353521378005,3,3,100.0,75.76289166341837,2,"{'strategy': 'momentum', 'variant': 'sens_thai_19_2030_rr1.6_body2_wick0.35_atrMin50', 'initial_balance': 10000.0, 'risk_pct': 0.0025, 'fee_rate': 0.0001, 'spread_atr_mult': 0.03, 'slippage_min_spread': 0.3, 'slippage_max_spread': 1.0, 'max_trades_per_day': 3, 'daily_loss_limit_pct': 0.03, 'max_hold_minutes': 720, 'seed': 42, 'sweep_lookback': 20, 'wick_body_min': 1.5, 'atr_percentile_min': 30.0, 'sweep_rr': 2.0, 'sl_atr_buffer': 0.1, 'use_m1_confirmation': False, 'session': 'ny', 'adx_min': 18.0, 'momentum_rr': 1.6, 'use_atr_expansion': False, 'body_mult': 2.0, 'max_wick_pct': 0.35, 'momentum_sl_atr_mult': 1.0, 'session_hours_utc': None, 'close_extreme_pct': None, 'ema_extension_atr_max': None, 'use_m15_ema_trend': False, 'use_m15_ema200_filter': False, 'momentum_atr_percentile_min': 50.0, 'momentum_atr_percentile_max': None, 'session_ranges_utc_minutes': ((720, 810),), 'entry_mode': 'next_m5'}",17.853688165172752,0.14198557142857116,0.018196049618096018
roll_q2_to_q3_2025,validate,2025-07-01,2025-09-30,roll_q2_to_q3_2025_validate,XAUUSDm,sens_thai_19_2030_rr1.6_body2_wick0.35_atrMin50,20,55.00000000000001,1.3176293387555116,0.7259926751363673,-0.5514737724998154,3.6299633756818226,0.14519853502727287,0.21739130434782608,-15.257485212995984,3,2,66.66666666666666,49.605930220447064,2,"{'strategy': 'momentum', 'variant': 'sens_thai_19_2030_rr1.6_body2_wick0.35_atrMin50', 'initial_balance': 10000.0, 'risk_pct': 0.0025, 'fee_rate': 0.0001, 'spread_atr_mult': 0.03, 'slippage_min_spread': 0.3, 'slippage_max_spread': 1.0, 'max_trades_per_day': 3, 'daily_loss_limit_pct': 0.03, 'max_hold_minutes': 720, 'seed': 42, 'sweep_lookback': 20, 'wick_body_min': 1.5, 'atr_percentile_min': 30.0, 'sweep_rr': 2.0, 'sl_atr_buffer': 0.1, 'use_m1_confirmation': False, 'session': 'ny', 'adx_min': 18.0, 'momentum_rr': 1.6, 'use_atr_expansion': False, 'body_mult': 2.0, 'max_wick_pct': 0.35, 'momentum_sl_atr_mult': 1.0, 'session_hours_utc': None, 'close_extreme_pct': None, 'ema_extension_atr_max': None, 'use_m15_ema_trend': False, 'use_m15_ema200_filter': False, 'momentum_atr_percentile_min': 50.0, 'momentum_atr_percentile_max': None, 'session_ranges_utc_minutes': ((720, 810),), 'entry_mode': 'next_m5'}",11.679298691414692,0.08796096428571404,0.024231915086248543
roll_q3_to_q4_2025,train_best,2025-07-01,2025-09-30,roll_q3_to_q4_2025_train,XAUUSDm,sens_thai_20_2130_rr1.9_body2_wick0.35_atrMin35,15,66.66666666666666,4.012232948691245,2.375236136169897,-0.47976071263389497,15.834907574466062,0.6333963029786425,0.16304347826086957,16.689531266871477,3,3,100.0,158.74620667208438,3,"{'strategy': 'momentum', 'variant': 'sens_thai_20_2130_rr1.9_body2_wick0.35_atrMin35', 'initial_balance': 10000.0, 'risk_pct': 0.0025, 'fee_rate': 0.0001, 'spread_atr_mult': 0.03, 'slippage_min_spread': 0.3, 'slippage_max_spread': 1.0, 'max_trades_per_day': 3, 'daily_loss_limit_pct': 0.03, 'max_hold_minutes': 720, 'seed': 42, 'sweep_lookback': 20, 'wick_body_min': 1.5, 'atr_percentile_min': 30.0, 'sweep_rr': 2.0, 'sl_atr_buffer': 0.1, 'use_m1_confirmation': False, 'session': 'ny', 'adx_min': 18.0, 'momentum_rr': 1.9, 'use_atr_expansion': False, 'body_mult': 2.0, 'max_wick_pct': 0.35, 'momentum_sl_atr_mult': 1.0, 'session_hours_utc': None, 'close_extreme_pct': None, 'ema_extension_atr_max': None, 'use_m15_ema_trend': False, 'use_m15_ema200_filter': False, 'momentum_atr_percentile_min': 35.0, 'momentum_atr_percentile_max': None, 'session_ranges_utc_minutes': ((780, 870),), 'entry_mode': 'next_m5'}",13.479113726625322,0.11384928571428563,0.007189766355053986
roll_q3_to_q4_2025,validate,2025-10-01,2025-12-31,roll_q3_to_q4_2025_validate,XAUUSDm,sens_thai_20_2130_rr1.9_body2_wick0.35_atrMin35,12,41.66666666666667,1.0621444725304057,0.0849678665285137,-1.3027377610691848,0.7080655544045266,0.02832262217618105,0.13043478260869565,-48.37354904762064,3,1,33.33333333333333,66.77518511300943,3,"{'strategy': 'momentum', 'variant': 'sens_thai_20_2130_rr1.9_body2_wick0.35_atrMin35', 'initial_balance': 10000.0, 'risk_pct': 0.0025, 'fee_rate': 0.0001, 'spread_atr_mult': 0.03, 'slippage_min_spread': 0.3, 'slippage_max_spread': 1.0, 'max_trades_per_day': 3, 'daily_loss_limit_pct': 0.03, 'max_hold_minutes': 720, 'seed': 42, 'sweep_lookback': 20, 'wick_body_min': 1.5, 'atr_percentile_min': 30.0, 'sweep_rr': 2.0, 'sl_atr_buffer': 0.1, 'use_m1_confirmation': False, 'session': 'ny', 'adx_min': 18.0, 'momentum_rr': 1.9, 'use_atr_expansion': False, 'body_mult': 2.0, 'max_wick_pct': 0.35, 'momentum_sl_atr_mult': 1.0, 'session_hours_utc': None, 'close_extreme_pct': None, 'ema_extension_atr_max': None, 'use_m15_ema_trend': False, 'use_m15_ema200_filter': False, 'momentum_atr_percentile_min': 35.0, 'momentum_atr_percentile_max': None, 'session_ranges_utc_minutes': ((780, 870),), 'entry_mode': 'next_m5'}",31.47104314333251,0.233002678571428,0.32906935964054923
roll_q4_to_q1_2026,train_best,2025-10-01,2025-12-31,roll_q4_to_q1_2026_train,XAUUSDm,sens_thai_19_21_rr2_body2.2_wick0.4_atrMin45,12,58.333333333333336,3.8661297796771374,2.298876298853902,-0.5262069448428426,19.1573024904492,0.7662920996179681,0.13043478260869565,21.650194821381472,3,3,100.0,120.5675587645544,3,"{'strategy': 'momentum', 'variant': 'sens_thai_19_21_rr2_body2.2_wick0.4_atrMin45', 'initial_balance': 10000.0, 'risk_pct': 0.0025, 'fee_rate': 0.0001, 'spread_atr_mult': 0.03, 'slippage_min_spread': 0.3, 'slippage_max_spread': 1.0, 'max_trades_per_day': 3, 'daily_loss_limit_pct': 0.03, 'max_hold_minutes': 720, 'seed': 42, 'sweep_lookback': 20, 'wick_body_min': 1.5, 'atr_percentile_min': 30.0, 'sweep_rr': 2.0, 'sl_atr_buffer': 0.1, 'use_m1_confirmation': False, 'session': 'ny', 'adx_min': 18.0, 'momentum_rr': 2.0, 'use_atr_expansion': False, 'body_mult': 2.2, 'max_wick_pct': 0.4, 'momentum_sl_atr_mult': 1.0, 'session_hours_utc': None, 'close_extreme_pct': None, 'ema_extension_atr_max': None, 'use_m15_ema_trend': False, 'use_m15_ema200_filter': False, 'momentum_atr_percentile_min': 45.0, 'momentum_atr_percentile_max': None, 'session_ranges_utc_minutes': ((720, 840),), 'entry_mode': 'next_m5'}",28.310129249567392,0.19972053571428539,0.010425295305216133
roll_q4_to_q1_2026,validate,2026-01-01,2026-03-31,roll_q4_to_q1_2026_validate,XAUUSDm,sens_thai_19_21_rr2_body2.2_wick0.4_atrMin45,15,53.333333333333336,1.893560998364193,1.3138975450054022,-0.8254253844995502,8.75931696670278,0.3503726786681112,0.16666666666666666,-83.13989331037425,3,2,66.66666666666666,142.1603129639268,2,"{'strategy': 'momentum', 'variant': 'sens_thai_19_21_rr2_body2.2_wick0.4_atrMin45', 'initial_balance': 10000.0, 'risk_pct': 0.0025, 'fee_rate': 0.0001, 'spread_atr_mult': 0.03, 'slippage_min_spread': 0.3, 'slippage_max_spread': 1.0, 'max_trades_per_day': 3, 'daily_loss_limit_pct': 0.03, 'max_hold_minutes': 720, 'seed': 42, 'sweep_lookback': 20, 'wick_body_min': 1.5, 'atr_percentile_min': 30.0, 'sweep_rr': 2.0, 'sl_atr_buffer': 0.1, 'use_m1_confirmation': False, 'session': 'ny', 'adx_min': 18.0, 'momentum_rr': 2.0, 'use_atr_expansion': False, 'body_mult': 2.2, 'max_wick_pct': 0.4, 'momentum_sl_atr_mult': 1.0, 'session_hours_utc': None, 'close_extreme_pct': None, 'ema_extension_atr_max': None, 'use_m15_ema_trend': False, 'use_m15_ema200_filter': False, 'momentum_atr_percentile_min': 45.0, 'momentum_atr_percentile_max': None, 'session_ranges_utc_minutes': ((720, 840),), 'entry_mode': 'next_m5'}",40.64743189373185,0.306301857142857,0.03496869200043991
