length,signal,atr_stop,trend_filter,rr,start_balance,end_balance,profit_pct,trades,trades_per_day,wins,losses,winrate,profit_factor,max_drawdown_pct,expectancy,trade_log,equity_log
50,13,2.0,False,2.0,1000.0,1028.0734817556704,2.8073481755670397,16,0.04371584699453552,8,8,50.0,1.677320023174091,-2.9627490643734307,1.754592609729385,andean_trades.csv,andean_equity.csv
50,13,2.0,True,2.0,1000.0,1014.4171501430127,1.4417150143012691,13,0.03551912568306011,6,7,46.15384615384615,1.4003380428190748,-2.9627490643734307,1.1090115494624972,andean_trades.csv,andean_equity.csv
50,9,2.0,False,2.0,1000.0,1017.8184487751575,1.781844877515755,18,0.04918032786885246,8,10,44.44444444444444,1.3452689673827956,-3.4479353190515547,0.9899138208420758,andean_trades.csv,andean_equity.csv
50,9,1.0,False,2.0,1000.0,1015.3611490680222,1.53611490680222,19,0.05191256830601093,9,10,47.368421052631575,1.301206839424464,-1.7665857938854945,0.8084815298958941,andean_trades.csv,andean_equity.csv
50,13,1.0,False,2.0,1000.0,1012.71456435726,1.2714564357259974,17,0.04644808743169399,8,9,47.05882352941176,1.2779833044296303,-1.985049937500001,0.7479155504270573,andean_trades.csv,andean_equity.csv
89,9,2.0,False,2.0,1000.0,1008.1593140348164,0.8159314034816361,11,0.030054644808743168,5,6,45.45454545454545,1.2694309171518678,-1.6417580522713016,0.7417558213469438,andean_trades.csv,andean_equity.csv
50,9,1.0,True,2.0,1000.0,1008.9366498629772,0.8936649862977218,15,0.040983606557377046,7,8,46.666666666666664,1.219412776118009,-1.7665857938855298,0.5957766575318307,andean_trades.csv,andean_equity.csv
89,13,1.5,False,2.0,1000.0,1006.2451574273575,0.6245157427357526,11,0.030054644808743168,5,6,45.45454545454545,1.2073310189229995,-2.475124687812493,0.5677415843052199,andean_trades.csv,andean_equity.csv
50,13,1.0,True,2.0,1000.0,1006.3068108996631,0.6306810899663106,13,0.03551912568306011,6,7,46.15384615384615,1.1774502871008448,-1.492512499999996,0.4851392999740779,andean_trades.csv,andean_equity.csv
50,9,2.0,True,2.0,1000.0,1004.2983390703362,0.4298339070336169,15,0.040983606557377046,6,9,40.0,1.0932654863620772,-3.4479353190515685,0.2865559380223942,andean_trades.csv,andean_equity.csv
20,13,2.0,True,2.0,1000.0,1013.5628578105657,1.3562857810565674,110,0.3005464480874317,43,67,39.09090909090909,1.0393835552905515,-7.902743873225856,0.12329870736877731,andean_trades.csv,andean_equity.csv
34,13,2.0,True,2.0,1000.0,1002.7551840411313,0.27551840411313155,39,0.10655737704918032,15,24,38.46153846153847,1.0224540937572892,-4.736167742826799,0.0706457446443865,andean_trades.csv,andean_equity.csv
89,9,2.0,True,2.0,1000.0,999.4772514445358,-0.052274855546420446,10,0.0273224043715847,4,6,40.0,0.9826131682904665,-1.6417580522713082,-0.05227485554641369,andean_trades.csv,andean_equity.csv
