ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,rr,exit_mode,m15_adx_min,require_m15_adx_rising,require_ema50_slope,use_h1_bias,session,min_hold_minutes,partial_pct,trail_type,regime,use_atr_expansion,atr_ma_period,atr_expansion_ratio_min,use_bb_width,bb_length,use_donchian,donchian_n,use_breakout_strength_filter,use_fake_breakout_filter,use_retest_entry,use_zone_quality_score,tier_mode,tier_b_risk,spread_atr_mult,slippage_spread_mult,max_spread_atr_mult,use_spread_filter,entry_latency_m1_candles,breakout_body_mult,breakout_atr_mult,volume_spike_mult,zone_quality_min,chop_max,high_vol_day_only,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,avg_slippage_cost,total_slippage_cost,slippage_cost_per_trade,tier_a_trades,tier_a_winrate,tier_a_profit_factor,tier_a_expectancy,tier_b_trades,tier_b_winrate,tier_b_profit_factor,tier_b_expectancy,negative_months,signal_candidates,passes_robust_filter
50/200,8,8,50,0.002,0.0025,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,exec_spread_0.5x_latency_0_filter_0,False,50,1.0,False,20,True,20,False,False,False,False,hybrid,0.01,0.02,0.5,0.03,False,0,1.5,0.5,0.0,3.0,0.0,False,23.834271887276167,1238.3427188727617,122,0.3333333333333333,45.08196721311475,1.5636474174713597,-5.914831974824101,12.021828001188013,-6.311310764068329,1.9536288432193656,0.01911780039437024,2.332371648113169,0.01911780039437024,68,41.17647058823529,1.1971974539847043,0.33304319619330824,54,50.0,1.7002794732071427,3.994366324659589,3,253,True
50/200,8,8,50,0.002,0.0025,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,exec_spread_0.5x_latency_0_filter_1,False,50,1.0,False,20,True,20,False,False,False,False,hybrid,0.01,0.02,0.5,0.03,True,0,1.5,0.5,0.0,3.0,0.0,False,23.834271887276167,1238.3427188727617,122,0.3333333333333333,45.08196721311475,1.5636474174713597,-5.914831974824101,12.021828001188013,-6.311310764068329,1.9536288432193656,0.01911780039437024,2.332371648113169,0.01911780039437024,68,41.17647058823529,1.1971974539847043,0.33304319619330824,54,50.0,1.7002794732071427,3.994366324659589,3,253,True
50/200,8,8,50,0.002,0.0025,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,exec_spread_1x_latency_0_filter_0,False,50,1.0,False,20,True,20,False,False,False,False,hybrid,0.01,0.02,1.0,0.03,False,0,1.5,0.5,0.0,3.0,0.0,False,23.357485641935092,1233.574856419351,121,0.33060109289617484,44.62809917355372,1.5523001541856403,-5.913735073490221,12.157180558494845,-6.312132742378679,1.9303707142095055,0.03828286811579713,4.632227042011453,0.03828286811579713,67,40.298507462686565,1.1539250909727239,0.26383473000458596,54,50.0,1.7008039507624664,3.998109805723018,3,253,True
50/200,8,8,50,0.002,0.0025,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,exec_spread_1x_latency_0_filter_1,False,50,1.0,False,20,True,20,False,False,False,False,hybrid,0.01,0.02,1.0,0.03,True,0,1.5,0.5,0.0,3.0,0.0,False,23.357485641935092,1233.574856419351,121,0.33060109289617484,44.62809917355372,1.5523001541856403,-5.913735073490221,12.157180558494845,-6.312132742378679,1.9303707142095055,0.03828286811579713,4.632227042011453,0.03828286811579713,67,40.298507462686565,1.1539250909727239,0.26383473000458596,54,50.0,1.7008039507624664,3.998109805723018,3,253,True
50/200,8,8,50,0.002,0.0025,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,exec_spread_2x_latency_0_filter_0,False,50,1.0,False,20,True,20,False,False,False,False,hybrid,0.01,0.02,2.0,0.03,False,0,1.5,0.5,0.0,3.0,0.0,False,17.95027604080037,1179.5027604080037,120,0.32786885245901637,43.333333333333336,1.4253230711830174,-5.9115698764110975,11.568103396668924,-6.206450238511489,1.4958563367333568,0.07367997752012136,8.841597302414563,0.07367997752012136,67,40.298507462686565,1.1541337364075461,0.25626976661355816,53,47.16981132075472,1.5225726631458814,3.0628808687715945,3,253,True
50/200,8,8,50,0.002,0.0025,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,exec_spread_2x_latency_0_filter_1,False,50,1.0,False,20,True,20,False,False,False,False,hybrid,0.01,0.02,2.0,0.03,True,0,1.5,0.5,0.0,3.0,0.0,False,17.95027604080037,1179.5027604080037,120,0.32786885245901637,43.333333333333336,1.4253230711830174,-5.9115698764110975,11.568103396668924,-6.206450238511489,1.4958563367333568,0.07367997752012136,8.841597302414563,0.07367997752012136,67,40.298507462686565,1.1541337364075461,0.25626976661355816,53,47.16981132075472,1.5225726631458814,3.0628808687715945,3,253,True
50/200,8,8,50,0.002,0.0025,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,exec_spread_2x_latency_1_filter_0,False,50,1.0,False,20,True,20,False,False,False,False,hybrid,0.01,0.02,2.0,0.03,False,1,1.5,0.5,0.0,3.0,0.0,False,15.72495557397349,1157.249555739735,113,0.3087431693989071,40.707964601769916,1.388309786021423,-6.143382888397851,12.221925858295023,-6.044164682713975,1.39158898884721,0.06752770561154096,7.6306307341041295,0.06752770561154096,62,35.483870967741936,0.9490060744445304,-0.09020366011509419,51,47.05882352941176,1.5514715937363932,3.1929839738602057,4,253,True
50/200,8,8,50,0.002,0.0025,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,exec_spread_2x_latency_1_filter_1,False,50,1.0,False,20,True,20,False,False,False,False,hybrid,0.01,0.02,2.0,0.03,True,1,1.5,0.5,0.0,3.0,0.0,False,15.72495557397349,1157.249555739735,113,0.3087431693989071,40.707964601769916,1.388309786021423,-6.143382888397851,12.221925858295023,-6.044164682713975,1.39158898884721,0.06752770561154096,7.6306307341041295,0.06752770561154096,62,35.483870967741936,0.9490060744445304,-0.09020366011509419,51,47.05882352941176,1.5514715937363932,3.1929839738602057,4,253,True
50/200,8,8,50,0.002,0.0025,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,exec_spread_1x_latency_1_filter_0,False,50,1.0,False,20,True,20,False,False,False,False,hybrid,0.01,0.02,1.0,0.03,False,1,1.5,0.5,0.0,3.0,0.0,False,15.582741291817342,1155.8274129181734,116,0.31693989071038253,40.51724137931034,1.378520591587567,-6.552190766800363,12.074516522032637,-5.966302371266086,1.3433397665359827,0.033706055357506204,3.9099024214707194,0.033706055357506204,65,35.38461538461539,0.9462633121828693,-0.09502862910129929,51,47.05882352941176,1.5459688503082771,3.1765543884266405,4,253,True
50/200,8,8,50,0.002,0.0025,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,exec_spread_1x_latency_1_filter_1,False,50,1.0,False,20,True,20,False,False,False,False,hybrid,0.01,0.02,1.0,0.03,True,1,1.5,0.5,0.0,3.0,0.0,False,15.582741291817342,1155.8274129181734,116,0.31693989071038253,40.51724137931034,1.378520591587567,-6.552190766800363,12.074516522032637,-5.966302371266086,1.3433397665359827,0.033706055357506204,3.9099024214707194,0.033706055357506204,65,35.38461538461539,0.9462633121828693,-0.09502862910129929,51,47.05882352941176,1.5459688503082771,3.1765543884266405,4,253,True
50/200,8,8,50,0.002,0.0025,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,exec_spread_0.5x_latency_1_filter_0,False,50,1.0,False,20,True,20,False,False,False,False,hybrid,0.01,0.02,0.5,0.03,False,1,1.5,0.5,0.0,3.0,0.0,False,15.559954332056918,1155.5995433205692,116,0.31693989071038253,40.51724137931034,1.3780095449864938,-6.553088896832889,12.068684099191,-5.965632019440698,1.3413753734531797,0.01690068355035447,1.9604792918411185,0.01690068355035447,65,35.38461538461539,0.9458540272628623,-0.095741458895632,51,47.05882352941176,1.5454179067803162,3.1729948656624463,4,253,True
50/200,8,8,50,0.002,0.0025,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,exec_spread_0.5x_latency_1_filter_1,False,50,1.0,False,20,True,20,False,False,False,False,hybrid,0.01,0.02,0.5,0.03,True,1,1.5,0.5,0.0,3.0,0.0,False,15.559954332056918,1155.5995433205692,116,0.31693989071038253,40.51724137931034,1.3780095449864938,-6.553088896832889,12.068684099191,-5.965632019440698,1.3413753734531797,0.01690068355035447,1.9604792918411185,0.01690068355035447,65,35.38461538461539,0.9458540272628623,-0.095741458895632,51,47.05882352941176,1.5454179067803162,3.1729948656624463,4,253,True
