ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,rr,exit_mode,m15_adx_min,require_m15_adx_rising,require_ema50_slope,use_h1_bias,session,min_hold_minutes,partial_pct,trail_type,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,negative_months,signal_candidates,passes_robust_filter
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.0,none,7.7162026377480055,1077.16202637748,248,0.6775956284153005,39.91935483870967,1.099899475315465,-9.843594517687954,8.58140140920721,-5.183870557946538,0.3111372031349989,5,2128,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,True,all,0,0.0,none,2.6319810410295306,1026.3198104102953,244,0.6666666666666666,38.52459016393443,1.0347388270037399,-9.973181799492838,8.34008541949211,-5.050988126813086,0.10786807545203086,6,2078,False
50/200,8,8,50,0.002,0.005,1.5,fixed,20,True,False,False,all,0,0.0,none,1.4281667078176041,1014.281667078176,280,0.7650273224043715,45.714285714285715,1.0188624475549422,-8.457639948498588,6.026795366184325,-4.981237761798805,0.051005953850626284,5,2128,False
50/200,8,8,50,0.002,0.005,1.5,fixed,20,True,False,False,14_20,0,0.0,none,0.12533473509759005,1001.2533473509759,179,0.4890710382513661,44.6927374301676,1.0025511933042666,-6.588774521787437,6.1566526546875515,-4.962412778020477,0.007001940508250971,8,1009,False
50/200,8,8,50,0.002,0.005,0.0,trailing_only,20,True,False,False,all,15,0.0,ema20,-0.22622972171629954,997.737702782837,256,0.6994535519125683,30.859375,0.9968265895644373,-11.254583171644736,8.995305932104257,-4.02763540030169,-0.008837098504542062,7,2128,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,14_20,0,0.0,none,-0.2770219069564177,997.2297809304358,167,0.4562841530054645,37.12574850299401,0.9947437107298652,-8.053571808152595,8.45579351482748,-5.01932778084636,-0.016588138141101497,8,1009,False
50/200,8,8,50,0.002,0.005,1.5,fixed,20,True,False,True,all,0,0.0,none,-0.635908961220946,993.6409103877905,273,0.7459016393442623,45.05494505494506,0.9913755570940355,-9.307502708568355,5.942880384900666,-4.9155558463666145,-0.023293368542895123,5,2078,False
50/200,8,8,50,0.002,0.005,0.0,trailing_only,20,True,False,False,all,25,0.0,ema20,-1.1610688125537763,988.3893118744622,258,0.7049180327868853,31.3953488372093,0.9840281656750217,-11.432161089863378,8.831321055575417,-4.107049116537552,-0.045002667153247584,7,2128,False
50/200,8,8,50,0.002,0.005,0.0,trailing_only,20,True,False,True,all,25,0.0,ema20,-2.85297771459542,971.4702228540458,252,0.6885245901639344,31.349206349206348,0.9603004242473756,-12.126028057135768,8.735596044761373,-4.153999217815624,-0.11321340137283503,7,2078,False
50/200,8,8,50,0.002,0.005,0.0,trailing_only,20,True,False,True,all,15,0.0,ema20,-3.1400237910622084,968.5997620893779,250,0.6830601092896175,30.4,0.9554149216964863,-12.852372145054133,8.853639457460487,-4.04756802688287,-0.12560095164249013,7,2078,False
