ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,rr,exit_mode,m15_adx_min,require_ema50_slope,session,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,negative_months,signal_candidates,passes_robust_filter
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,False,14_20,8.251320769639074,1082.5132076963907,239,0.6530054644808743,43.93305439330544,1.140391827705113,-5.087219691705359,6.383317406164718,-4.386082984708239,0.34524354684682557,6,1694,False
50/200,8,8,50,0.002,0.005,2.5,fixed,25,False,14_20,7.257078637870632,1072.5707863787063,189,0.5163934426229508,34.39153439153439,1.1104401889782585,-6.166275357546942,11.225779378686141,-5.299232848676554,0.38397241470215104,6,1509,False
50/200,8,8,50,0.002,0.005,1.5,fixed,20,False,14_20,6.933269091045759,1069.3326909104576,241,0.6584699453551912,47.30290456431535,1.1068687354878457,-8.238022969897555,6.299102201497102,-5.1083855122851345,0.2876875141512763,6,1694,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,25,False,14_20,5.385921074968541,1053.8592107496854,215,0.587431693989071,42.7906976744186,1.1030406384654898,-4.81472859726858,6.266934126493163,-4.249583161688489,0.2505079569752879,6,1509,False
50/200,8,8,50,0.002,0.005,2.5,fixed,25,True,all,7.534809757972654,1075.3480975797265,239,0.6530054644808743,34.30962343096235,1.0939848190796613,-11.748445514739615,10.695769249049144,-5.1064011518618,0.3152640066097368,5,2848,False
50/200,8,8,50,0.002,0.005,1.5,fixed,25,False,14_20,5.348192841165064,1053.4819284116506,217,0.592896174863388,47.004608294930875,1.0915019579254273,-6.178596098052384,6.254621287321633,-5.0825168947404995,0.2464604995928533,6,1509,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,False,all,7.510816632717092,1075.108166327171,283,0.773224043715847,39.57597173144876,1.0837613220844646,-8.338044668712413,8.676793478309914,-5.243816978032393,0.26539988101473944,5,3475,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,18,False,14_20,5.088868946557909,1050.888689465579,245,0.6693989071038251,43.26530612244898,1.0820146840935416,-5.164824222080713,6.333691989911962,-4.463904039317185,0.20770893659420084,5,1783,False
50/200,8,8,50,0.002,0.005,1.5,partial_1r,20,False,14_20,3.9318433741140324,1039.3184337411403,375,1.0245901639344261,61.86666666666667,1.0719724050380437,-5.004222006313896,2.5242119290755975,-3.8202708657650217,0.10484915664304147,6,1694,False
50/200,8,8,50,0.002,0.005,1.5,be_1_no_lock,20,False,14_20,3.33733793672609,1033.373379367261,239,0.6530054644808743,38.912133891213394,1.0619760470079833,-6.225963428634521,6.149050866321341,-3.6882763780864622,0.1396375705743148,7,1694,False
