ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,rr,exit_mode,m15_adx_min,require_m15_adx_rising,require_ema50_slope,use_h1_bias,session,min_hold_minutes,partial_pct,trail_type,regime,use_atr_expansion,atr_ma_period,atr_expansion_ratio_min,use_bb_width,bb_length,use_donchian,donchian_n,use_breakout_strength_filter,use_fake_breakout_filter,use_retest_entry,use_zone_quality_score,breakout_body_mult,breakout_atr_mult,volume_spike_mult,zone_quality_min,chop_max,high_vol_day_only,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,negative_months,signal_candidates,passes_robust_filter
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,baseline_donchian,False,50,1.0,False,20,True,20,False,False,False,False,1.3,0.4,0.0,3.0,0.0,False,13.787127009768438,1137.8712700976844,121,0.33060109289617484,44.62809917355372,1.379700129822273,-3.3857605592487614,9.277350745450715,-5.419487614278413,1.1394319842783875,4,253,True
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,baseline_donchian,False,50,1.0,False,20,True,20,False,False,False,False,1.3,0.4,0.0,4.0,0.0,False,13.787127009768438,1137.8712700976844,121,0.33060109289617484,44.62809917355372,1.379700129822273,-3.3857605592487614,9.277350745450715,-5.419487614278413,1.1394319842783875,4,253,True
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,baseline_donchian,False,50,1.0,False,20,True,20,False,False,False,False,1.3,0.5,0.0,3.0,0.0,False,13.787127009768438,1137.8712700976844,121,0.33060109289617484,44.62809917355372,1.379700129822273,-3.3857605592487614,9.277350745450715,-5.419487614278413,1.1394319842783875,4,253,True
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,baseline_donchian,False,50,1.0,False,20,True,20,False,False,False,False,1.3,0.5,0.0,4.0,0.0,False,13.787127009768438,1137.8712700976844,121,0.33060109289617484,44.62809917355372,1.379700129822273,-3.3857605592487614,9.277350745450715,-5.419487614278413,1.1394319842783875,4,253,True
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,baseline_donchian,False,50,1.0,False,20,True,20,False,False,False,False,1.5,0.4,0.0,3.0,0.0,False,13.787127009768438,1137.8712700976844,121,0.33060109289617484,44.62809917355372,1.379700129822273,-3.3857605592487614,9.277350745450715,-5.419487614278413,1.1394319842783875,4,253,True
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,baseline_donchian,False,50,1.0,False,20,True,20,False,False,False,False,1.5,0.4,0.0,4.0,0.0,False,13.787127009768438,1137.8712700976844,121,0.33060109289617484,44.62809917355372,1.379700129822273,-3.3857605592487614,9.277350745450715,-5.419487614278413,1.1394319842783875,4,253,True
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,baseline_donchian,False,50,1.0,False,20,True,20,False,False,False,False,1.5,0.5,0.0,3.0,0.0,False,13.787127009768438,1137.8712700976844,121,0.33060109289617484,44.62809917355372,1.379700129822273,-3.3857605592487614,9.277350745450715,-5.419487614278413,1.1394319842783875,4,253,True
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,baseline_donchian,False,50,1.0,False,20,True,20,False,False,False,False,1.5,0.5,0.0,4.0,0.0,False,13.787127009768438,1137.8712700976844,121,0.33060109289617484,44.62809917355372,1.379700129822273,-3.3857605592487614,9.277350745450715,-5.419487614278413,1.1394319842783875,4,253,True
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_strength,False,50,1.0,False,20,True,20,True,True,False,True,1.3,0.4,0.0,3.0,0.0,False,11.17258675606738,1111.7258675606738,71,0.19398907103825136,47.88732394366197,1.5603945581872796,-3.661573248908909,9.14987869357604,-5.388378595159784,1.573603768460188,4,114,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_strength,False,50,1.0,False,20,True,20,True,True,False,True,1.3,0.4,0.0,4.0,0.0,False,11.17258675606738,1111.7258675606738,71,0.19398907103825136,47.88732394366197,1.5603945581872796,-3.661573248908909,9.14987869357604,-5.388378595159784,1.573603768460188,4,114,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_strength,False,50,1.0,False,20,True,20,True,True,False,True,1.5,0.5,0.0,3.0,0.0,False,9.814966433649237,1098.1496643364924,63,0.1721311475409836,47.61904761904761,1.5558699582004196,-3.177460551667275,9.157304503555913,-5.350590023338929,1.5579311799443294,3,101,False
