ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,passes_robust_filter
50/200,8,8,50,0.002,0.01,5.390870573960274,1053.9087057396027,322,0.8797814207650273,41.61490683229814,1.0377307690236897,-12.524590336145469,11.064789182929768,-7.599856621132902,0.1674183408062211,False
50/200,8,8,50,0.002,0.005,3.118222929048647,1031.1822292904865,322,0.8797814207650273,41.61490683229814,1.0437357040692168,-6.370029794733773,5.553372176819291,-3.792391714911165,0.09683922139902491,False
50/200,8,12,50,0.002,0.005,0.29204807315003334,1002.9204807315003,320,0.8743169398907104,38.4375,1.0040697788752024,-8.643818643684527,5.85790489130232,-3.6426488370491636,0.009126502285938188,False
50/200,8,12,50,0.002,0.01,-0.33381249056021717,996.6618750943978,320,0.8743169398907104,38.4375,0.9976366662673855,-16.756296251670413,11.456311671447363,-7.1698703578356815,-0.01043164033001176,False
50/200,8,4,50,0.002,0.005,-1.3820409040584194,986.1795909594158,307,0.8387978142076503,37.45928338762215,0.9806251749275192,-9.774874777302102,6.082586656650258,-3.7151972633091854,-0.04501761902470348,False
50/200,8,12,20,0.002,0.005,-1.7400333973138684,982.5996660268613,344,0.9398907103825137,38.372093023255815,0.9770549992853366,-8.20800435503204,5.613252629198862,-3.5771211369216416,-0.05058236620098323,False
20/50,8,8,20,0.002,0.005,-2.8992072771971835,971.0079272280282,348,0.9508196721311475,35.91954022988506,0.9636745164070452,-9.039698213981936,6.153018530183951,-3.5790107132061255,-0.08331055394244845,False
50/200,8,8,20,0.002,0.005,-3.259828141588275,967.4017185841172,332,0.907103825136612,37.04819277108434,0.9578530443133959,-8.38233793205396,6.023130410760747,-3.7006857509064783,-0.09818759462615081,False
20/50,8,8,50,0.002,0.005,-3.69240771988093,963.0759228011907,345,0.9426229508196722,37.391304347826086,0.9537216539853235,-8.500927199581009,5.8988011246612855,-3.6938399179634955,-0.10702631072118604,False
50/200,16,8,50,0.002,0.005,-3.339686679943975,966.6031332005603,297,0.8114754098360656,38.04713804713805,0.9539474573058991,-7.890383615639361,6.122067615174124,-3.9412527571419345,-0.11244736296107737,False
50/200,8,4,50,0.002,0.01,-3.631670398134247,963.6832960186575,307,0.8387978142076503,37.45928338762215,0.9739006190853083,-18.766365568097388,11.784007813016595,-7.24727917957422,-0.1182954527079537,False
