entry_time,exit_time,side,entry,sl,tp,exit,qty,pnl,fee,result,reason,balance
2025-05-06 23:41:00,2025-05-07 01:08:00,BUY,96635.37255714285,96102.72,97700.67767142855,97700.67767142855,0.008200111665580182,8.098189970047565,0.6374309250088339,WIN,TP,1008.0981899700475
2025-05-08 15:21:00,2025-05-08 15:24:00,BUY,99689.97734285714,99316.0,100437.9320285714,100437.9320285714,0.011112689951302723,7.422204756987921,0.8895837629788385,WIN,TP,1015.5203947270354
2025-05-08 15:36:00,2025-05-08 21:18:00,BUY,100661.0522857143,99316.0,103351.15685714288,103351.15685714288,0.0035631216698054566,9.294401763179199,0.2907681293207189,WIN,TP,1024.8147964902146
2025-05-10 23:21:00,2025-05-11 02:53:00,BUY,104438.10465714286,103571.42,106171.47397142858,103571.42,0.005394395405813706,-5.124073982451072,0.44883424967039376,LOSS,SL,1019.6907225077636
2025-05-18 14:36:00,2025-05-18 18:07:00,BUY,104992.27471428571,104325.47,106325.88414285713,104325.47,0.006793121263958242,-5.098453612538818,0.568768329016959,LOSS,SL,1014.5922688952247
2025-05-21 14:51:00,2025-05-21 17:29:00,BUY,108336.67584285715,107009.06,110991.90752857145,107009.06,0.0035882910691556417,-5.0729613444761235,0.30908927228226973,LOSS,SL,1009.5193075507486
2025-05-23 14:01:00,2025-05-23 16:15:00,BUY,109808.14492857143,108462.16,112500.1147857143,108462.16,0.0035216779540248036,-5.047596537753743,0.3074710883540886,LOSS,SL,1004.4717110129949
2025-05-28 14:36:00,2025-05-29 02:52:00,SELL,107714.29122857144,108433.34,106276.19368571433,108433.34,0.006235021443520921,-5.022358555064975,0.5390740462705581,LOSS,SL,999.4493524579299
2025-05-29 14:06:00,2025-05-29 18:59:00,SELL,107523.57394285714,108354.38,105861.96182857141,105861.96182857141,0.0054486259839848705,8.58843975127697,0.4650631899242955,WIN,TP,1008.0377922092068
2025-05-29 19:11:00,2025-05-30 00:58:00,SELL,105982.86094285714,106617.77,104713.0428285714,104713.0428285714,0.007000755323185631,8.299673735102909,0.5900121879604944,WIN,TP,1016.3374659443098
2025-05-30 07:36:00,2025-05-30 10:46:00,SELL,105048.62022857142,105850.0,103445.86068571427,105850.0,0.0057372274115573135,-5.081687329721549,0.48398933801399036,LOSS,SL,1011.2557786145882
2025-05-31 01:31:00,2025-05-31 02:54:00,SELL,103843.35602857142,104195.13,103139.80808571425,103139.80808571425,0.011623913801452803,7.215598859754629,0.9623817832065663,WIN,TP,1018.4713774743428
2025-06-03 14:51:00,2025-06-04 00:40:00,BUY,106473.594,105150.94,109118.90199999999,105150.94,0.003618519923103925,-5.092356887371714,0.30630703699863365,LOSS,SL,1013.3790205869711
2025-06-05 13:51:00,2025-06-05 19:16:00,SELL,104748.99165714286,105909.71,102427.55497142857,102427.55497142857,0.004069854681579979,9.110638588061862,0.3372713752839457,WIN,TP,1022.489659175033
2025-06-05 20:41:00,2025-06-06 02:59:00,SELL,100842.67601428571,102171.44,98185.14804285712,102171.44,0.0036259279486666467,-5.112448295875165,0.29444582289202065,LOSS,SL,1017.3772108791578
2025-06-12 20:41:00,2025-06-13 00:03:00,SELL,106190.83482857143,106960.77,104650.96448571428,104650.96448571428,0.0059482120643338824,8.65782265715399,0.501652693738839,WIN,TP,1026.0350335363119
2025-06-22 13:36:00,2025-06-23 18:05:00,SELL,100689.09422857143,102810.28,96446.72268571428,102810.28,0.0023291604882033808,-5.13017516768156,0.18959308073092077,LOSS,SL,1020.9048583686302
2025-06-23 20:31:00,2025-06-23 22:25:00,BUY,103851.46744285715,102800.0,105954.40232857144,105954.40232857144,0.004500836023415269,9.087244361883062,0.37772072663648737,WIN,TP,1029.9921027305134
2025-07-09 19:51:00,2025-07-10 21:19:00,BUY,111622.73178571428,109532.0,115804.19535714283,115804.19535714283,0.0023632413055485056,9.666821546359145,0.2149858832871882,WIN,TP,1039.6589242768725
