ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,rr,exit_mode,m15_adx_min,require_m15_adx_rising,require_ema50_slope,use_h1_bias,session,min_hold_minutes,partial_pct,trail_type,regime,use_atr_expansion,atr_ma_period,atr_expansion_ratio_min,use_bb_width,bb_length,use_donchian,donchian_n,chop_max,high_vol_day_only,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,negative_months,label,start,end,signal_candidates
50/200,8,8,50,0.002,0.005,2.0,fixed,18,True,False,False,all,0,0.5,prev_candle,donchian_20,False,50,1.0,False,20,True,15,0.0,False,15.000367739246007,1150.00367739246,135,0.36885245901639346,44.44444444444444,1.3731455012886125,-3.1455802693425836,9.200024926688,-5.359970909450947,1.1111383510552517,4,donchian_15_adx_18,2025-04-27 10:30:00,2026-04-27 10:25:00,285
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_20,False,50,1.0,False,20,True,15,0.0,False,14.803693117206262,1148.0369311720626,130,0.3551912568306011,44.61538461538462,1.380390141675576,-3.888384616862236,9.262211119283796,-5.405157135366637,1.1387456244004794,4,donchian_15_adx_20,2025-04-27 10:30:00,2026-04-27 10:25:00,269
50/200,8,8,50,0.002,0.005,2.0,fixed,22,True,False,False,all,0,0.5,prev_candle,donchian_20,False,50,1.0,False,20,True,15,0.0,False,7.141353091824862,1071.4135309182486,124,0.33879781420765026,41.12903225806452,1.186637931679786,-5.211966189456012,8.902841554367697,-5.241525867869906,0.5759155719213659,6,donchian_15_adx_22,2025-04-27 10:30:00,2026-04-27 10:25:00,247
50/200,8,8,50,0.002,0.005,2.0,fixed,25,True,False,False,all,0,0.5,prev_candle,donchian_20,False,50,1.0,False,20,True,15,0.0,False,1.9896319500260007,1019.89631950026,118,0.3224043715846995,38.13559322033898,1.0526739711352122,-7.477152799609731,8.836047780938545,-5.174326447150343,0.1686128771208427,6,donchian_15_adx_25,2025-04-27 10:30:00,2026-04-27 10:25:00,232
50/200,8,8,50,0.002,0.005,2.0,fixed,18,True,False,False,all,0,0.5,prev_candle,donchian_20,False,50,1.0,False,20,True,20,0.0,False,10.975285806313604,1109.752858063136,126,0.3442622950819672,42.857142857142854,1.2861155084628606,-3.3857605592487294,9.136096014448018,-5.327726759959121,0.8710544290725101,4,donchian_20_adx_18,2025-04-27 10:30:00,2026-04-27 10:25:00,267
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_20,False,50,1.0,False,20,True,20,0.0,False,13.787127009768438,1137.8712700976844,121,0.33060109289617484,44.62809917355372,1.379700129822273,-3.3857605592487614,9.277350745450715,-5.419487614278413,1.1394319842783875,4,donchian_20_adx_20,2025-04-27 10:30:00,2026-04-27 10:25:00,253
50/200,8,8,50,0.002,0.005,2.0,fixed,22,True,False,False,all,0,0.5,prev_candle,donchian_20,False,50,1.0,False,20,True,20,0.0,False,6.7262669655605585,1067.2626696556056,114,0.3114754098360656,41.228070175438596,1.1909034851707911,-4.237451172736499,8.92768691780352,-5.2587853056889635,0.5900234180316214,6,donchian_20_adx_22,2025-04-27 10:30:00,2026-04-27 10:25:00,231
50/200,8,8,50,0.002,0.005,2.0,fixed,25,True,False,False,all,0,0.5,prev_candle,donchian_20,False,50,1.0,False,20,True,20,0.0,False,2.7324680881333276,1027.3246808813333,111,0.30327868852459017,38.73873873873874,1.0775353369097327,-6.186616361112907,8.831174902599571,-5.182585881330116,0.24616829622823133,5,donchian_20_adx_25,2025-04-27 10:30:00,2026-04-27 10:25:00,218
50/200,8,8,50,0.002,0.005,2.0,fixed,18,True,False,False,all,0,0.5,prev_candle,donchian_20,False,50,1.0,False,20,True,25,0.0,False,9.685270842764021,1096.8527084276402,123,0.3360655737704918,42.27642276422765,1.256721596666449,-3.3857605592487467,9.117695825807283,-5.3136264016104064,0.7874203937206493,5,donchian_25_adx_18,2025-04-27 10:30:00,2026-04-27 10:25:00,257
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_20,False,50,1.0,False,20,True,25,0.0,False,12.46442623512828,1124.6442623512828,118,0.3224043715846995,44.06779661016949,1.34953063465998,-3.3857605592487396,9.25478747550029,-5.4031013087080595,1.056307308061722,5,donchian_25_adx_20,2025-04-27 10:30:00,2026-04-27 10:25:00,243
